time,X,Y
15:14:11.858,-000.8276,-002.8891
15:14:11.859,-000.8276,-002.8898
15:14:11.874,-000.8276,-002.8905
15:14:11.890,-000.8276,-002.8910
15:14:11.905,-000.8277,-002.8916
15:14:11.906,-000.8277,-002.8925
15:14:11.922,-000.8277,-002.8935
15:14:11.938,-000.8277,-002.8944
15:14:11.960,-000.8277,-002.8955
15:14:11.960,-000.8278,-002.8965
15:14:11.970,-000.8281,-002.8975
15:14:11.990,-000.8282,-002.8985
15:14:12.001,-000.8285,-002.8997
15:14:12.002,-000.8288,-002.9006
15:14:12.017,-000.8292,-002.9015
15:14:12.034,-000.8297,-002.9026
15:14:12.050,-000.8307,-002.9037
15:14:12.050,-000.8312,-002.9047
15:14:12.065,-000.8319,-002.9056
15:14:12.081,-000.8328,-002.9066
15:14:12.097,-000.8335,-002.9076
15:14:12.097,-000.8344,-002.9086
15:14:12.112,-000.8355,-002.9094
15:14:12.128,-000.8365,-002.9102
15:14:12.145,-000.8377,-002.9109
15:14:12.145,-000.8387,-002.9116
15:14:12.161,-000.8391,-002.9117
15:14:12.185,-000.8396,-002.9119
15:14:12.192,-000.8402,-002.9122
15:14:12.193,-000.8409,-002.9128
15:14:12.209,-000.8419,-002.9133
15:14:12.224,-000.8430,-002.9139
15:14:12.241,-000.8442,-002.9146
15:14:12.241,-000.8452,-002.9154
15:14:12.256,-000.8462,-002.9159
15:14:12.273,-000.8473,-002.9164
15:14:12.288,-000.8484,-002.9171
15:14:12.288,-000.8496,-002.9179
15:14:12.305,-000.8505,-002.9185
15:14:12.320,-000.8514,-002.9191
15:14:12.336,-000.8524,-002.9196
15:14:12.336,-000.8536,-002.9201
15:14:12.352,-000.8546,-002.9205
15:14:12.368,-000.8558,-002.9210
15:14:12.384,-000.8570,-002.9216
15:14:12.384,-000.8584,-002.9222
15:14:12.400,-000.8596,-002.9227
15:14:12.416,-000.8608,-002.9232
15:14:12.441,-000.8620,-002.9239
15:14:12.441,-000.8630,-002.9245
15:14:12.447,-000.8634,-002.9247
15:14:12.464,-000.8638,-002.9250
15:14:12.480,-000.8644,-002.9254
15:14:12.480,-000.8652,-002.9259
15:14:12.495,-000.8660,-002.9269
15:14:12.512,-000.8670,-002.9274
15:14:12.528,-000.8680,-002.9281
15:14:12.543,-000.8690,-002.9289
15:14:12.543,-000.8701,-002.9298
15:14:12.560,-000.8712,-002.9307
15:14:12.575,-000.8723,-002.9317
15:14:12.591,-000.8733,-002.9323
15:14:12.591,-000.8743,-002.9329
15:14:12.607,-000.8754,-002.9337
15:14:12.623,-000.8764,-002.9345
15:14:12.639,-000.8773,-002.9354
15:14:12.639,-000.8783,-002.9361
15:14:12.655,-000.8791,-002.9369
15:14:12.671,-000.8801,-002.9376
15:14:12.687,-000.8811,-002.9385
15:14:12.687,-000.8819,-002.9393
15:14:12.702,-000.8829,-002.9402
15:14:12.718,-000.8839,-002.9409
15:14:12.735,-000.8849,-002.9419
15:14:12.735,-000.8850,-002.9426
15:14:12.759,-000.8853,-002.9433
15:14:12.766,-000.8858,-002.9442
15:14:12.783,-000.8867,-002.9452
15:14:12.783,-000.8878,-002.9462
15:14:12.798,-000.8889,-002.9472
15:14:12.814,-000.8902,-002.9484
15:14:12.830,-000.8914,-002.9497
15:14:12.830,-000.8926,-002.9507
15:14:12.874,-000.8939,-002.9516
15:14:12.874,-000.8950,-002.9526
15:14:12.878,-000.8960,-002.9537
15:14:12.878,-000.8971,-002.9547
15:14:12.894,-000.8984,-002.9553
15:14:12.910,-000.8994,-002.9561
15:14:12.926,-000.9004,-002.9569
15:14:12.926,-000.9013,-002.9578
15:14:12.942,-000.9023,-002.9588
15:14:12.957,-000.9033,-002.9597
15:14:12.974,-000.9041,-002.9606
15:14:12.974,-000.9049,-002.9614
15:14:12.990,-000.9057,-002.9622
15:14:13.007,-000.9066,-002.9632
15:14:13.022,-000.9074,-002.9640
15:14:13.022,-000.9074,-002.9650
15:14:13.038,-000.9074,-002.9659
15:14:13.053,-000.9074,-002.9668
15:14:13.069,-000.9075,-002.9676
15:14:13.069,-000.9078,-002.9684
15:14:13.085,-000.9082,-002.9692
15:14:13.101,-000.9087,-002.9700
15:14:13.117,-000.9093,-002.9708
15:14:13.117,-000.9099,-002.9719
15:14:13.133,-000.9104,-002.9727
15:14:13.149,-000.9110,-002.9735
15:14:13.165,-000.9117,-002.9744
15:14:13.165,-000.9123,-002.9750
15:14:13.181,-000.9130,-002.9759
15:14:13.196,-000.9138,-002.9768
15:14:13.213,-000.9145,-002.9776
15:14:13.213,-000.9152,-002.9783
15:14:13.229,-000.9157,-002.9791
15:14:13.244,-000.9168,-002.9799
15:14:13.260,-000.9176,-002.9808
15:14:13.260,-000.9183,-002.9815
15:14:13.277,-000.9191,-002.9822
15:14:13.293,-000.9197,-002.9829
15:14:13.309,-000.9199,-002.9837
15:14:13.309,-000.9199,-002.9846
15:14:13.324,-000.9199,-002.9855
15:14:13.340,-000.9199,-002.9863
15:14:13.356,-000.9199,-002.9871
15:14:13.356,-000.9199,-002.9880
15:14:13.372,-000.9199,-002.9889
15:14:13.388,-000.9201,-002.9900
15:14:13.404,-000.9206,-002.9908
15:14:13.404,-000.9208,-002.9915
15:14:13.420,-000.9212,-002.9923
15:14:13.435,-000.9215,-002.9931
15:14:13.452,-000.9220,-002.9941
15:14:13.452,-000.9226,-002.9951
15:14:13.468,-000.9232,-002.9960
15:14:13.483,-000.9236,-002.9969
15:14:13.499,-000.9241,-002.9979
15:14:13.516,-000.9247,-002.9991
15:14:13.516,-000.9251,-003.0000
15:14:13.532,-000.9256,-003.0008
15:14:13.548,-000.9258,-003.0015
15:14:13.564,-000.9262,-003.0024
15:14:13.564,-000.9267,-003.0034
15:14:13.579,-000.9272,-003.0043
15:14:13.595,-000.9275,-003.0054
15:14:13.611,-000.9275,-003.0063
15:14:13.611,-000.9275,-003.0072
15:14:13.627,-000.9275,-003.0083
15:14:13.643,-000.9275,-003.0093
15:14:13.659,-000.9275,-003.0102
15:14:13.659,-000.9275,-003.0112
15:14:13.675,-000.9275,-003.0123
15:14:13.691,-000.9275,-003.0133
15:14:13.707,-000.9275,-003.0143
15:14:13.707,-000.9275,-003.0153
15:14:13.722,-000.9275,-003.0165
15:14:13.738,-000.9275,-003.0176
15:14:13.754,-000.9277,-003.0187
15:14:13.755,-000.9280,-003.0198
15:14:13.770,-000.9283,-003.0209
15:14:13.786,-000.9285,-003.0220
15:14:13.802,-000.9287,-003.0230
15:14:13.802,-000.9290,-003.0241
15:14:13.818,-000.9293,-003.0252
15:14:13.834,-000.9295,-003.0263
15:14:13.850,-000.9297,-003.0273
15:14:13.850,-000.9301,-003.0285
15:14:13.866,-000.9302,-003.0298
15:14:13.882,-000.9302,-003.0310
15:14:13.898,-000.9302,-003.0318
15:14:13.898,-000.9302,-003.0325
15:14:13.914,-000.9302,-003.0335
15:14:13.930,-000.9302,-003.0347
15:14:13.946,-000.9302,-003.0357
15:14:13.946,-000.9302,-003.0367
15:14:13.962,-000.9302,-003.0380
15:14:13.977,-000.9302,-003.0392
15:14:13.994,-000.9302,-003.0404
15:14:13.994,-000.9302,-003.0415
15:14:14.009,-000.9302,-003.0426
15:14:14.025,-000.9302,-003.0439
15:14:14.041,-000.9302,-003.0452
15:14:14.041,-000.9302,-003.0465
15:14:14.057,-000.9302,-003.0477
15:14:14.073,-000.9302,-003.0491
15:14:14.089,-000.9302,-003.0505
15:14:14.090,-000.9302,-003.0518
15:14:14.105,-000.9302,-003.0532
15:14:14.121,-000.9302,-003.0545
15:14:14.137,-000.9302,-003.0558
15:14:14.137,-000.9301,-003.0570
15:14:14.154,-000.9300,-003.0581
15:14:14.169,-000.9299,-003.0590
15:14:14.185,-000.9298,-003.0591
15:14:14.185,-000.9298,-003.0593
15:14:14.200,-000.9295,-003.0597
15:14:14.257,-000.9294,-003.0600
15:14:14.257,-000.9293,-003.0605
15:14:14.257,-000.9292,-003.0611
15:14:14.257,-000.9291,-003.0620
15:14:14.265,-000.9290,-003.0628
15:14:14.280,-000.9288,-003.0637
15:14:14.280,-000.9285,-003.0647
15:14:14.296,-000.9282,-003.0657
15:14:14.312,-000.9278,-003.0669
15:14:14.328,-000.9275,-003.0679
15:14:14.328,-000.9273,-003.0691
15:14:14.344,-000.9270,-003.0703
15:14:14.360,-000.9268,-003.0714
15:14:14.376,-000.9267,-003.0727
15:14:14.376,-000.9265,-003.0740
15:14:14.392,-000.9261,-003.0753
15:14:14.407,-000.9258,-003.0766
15:14:14.424,-000.9256,-003.0778
15:14:14.424,-000.9253,-003.0792
15:14:14.440,-000.9249,-003.0805
15:14:14.456,-000.9246,-003.0816
15:14:14.472,-000.9246,-003.0817
15:14:14.487,-000.9245,-003.0819
15:14:14.488,-000.9244,-003.0824
15:14:14.503,-000.9242,-003.0832
15:14:14.519,-000.9239,-003.0842
15:14:14.519,-000.9234,-003.0851
15:14:14.535,-000.9230,-003.0861
15:14:14.551,-000.9224,-003.0872
15:14:14.567,-000.9220,-003.0883
15:14:14.583,-000.9216,-003.0894
15:14:14.583,-000.9212,-003.0905
15:14:14.599,-000.9210,-003.0914
15:14:14.614,-000.9205,-003.0924
15:14:14.630,-000.9197,-003.0934
15:14:14.630,-000.9193,-003.0945
15:14:14.647,-000.9188,-003.0954
15:14:14.663,-000.9182,-003.0964
15:14:14.679,-000.9175,-003.0974
15:14:14.679,-000.9168,-003.0985
15:14:14.695,-000.9164,-003.0995
15:14:14.710,-000.9158,-003.1004
15:14:14.726,-000.9154,-003.1012
15:14:14.726,-000.9152,-003.1021
15:14:14.742,-000.9148,-003.1026
15:14:14.758,-000.9145,-003.1026
15:14:14.774,-000.9141,-003.1026
15:14:14.774,-000.9137,-003.1026
15:14:14.790,-000.9132,-003.1026
15:14:14.806,-000.9127,-003.1026
15:14:14.822,-000.9122,-003.1027
15:14:14.822,-000.9117,-003.1030
15:14:14.838,-000.9110,-003.1034
15:14:14.854,-000.9104,-003.1040
15:14:14.869,-000.9097,-003.1046
15:14:14.870,-000.9088,-003.1051
15:14:14.885,-000.9077,-003.1056
15:14:14.902,-000.9065,-003.1061
15:14:14.918,-000.9056,-003.1065
15:14:14.918,-000.9047,-003.1071
15:14:14.933,-000.9039,-003.1073
15:14:14.950,-000.9031,-003.1075
15:14:14.965,-000.9023,-003.1076
15:14:14.965,-000.9016,-003.1077
15:14:14.982,-000.9013,-003.1078
15:14:14.998,-000.9008,-003.1080
15:14:15.013,-000.9006,-003.1081
15:14:15.014,-000.9002,-003.1082
15:14:15.029,-000.8998,-003.1082
15:14:15.045,-000.8992,-003.1082
15:14:15.061,-000.8986,-003.1082
15:14:15.061,-000.8982,-003.1082
15:14:15.078,-000.8978,-003.1082
15:14:15.093,-000.8973,-003.1082
15:14:15.109,-000.8973,-003.1082
15:14:15.109,-000.8972,-003.1082
15:14:15.125,-000.8971,-003.1082
15:14:15.140,-000.8971,-003.1082
15:14:15.157,-000.8969,-003.1082
15:14:15.157,-000.8968,-003.1082
15:14:15.173,-000.8967,-003.1082
15:14:15.189,-000.8966,-003.1084
15:14:15.205,-000.8965,-003.1088
15:14:15.205,-000.8964,-003.1093
15:14:15.220,-000.8961,-003.1098
15:14:15.236,-000.8958,-003.1103
15:14:15.252,-000.8956,-003.1108
15:14:15.252,-000.8953,-003.1114
15:14:15.268,-000.8950,-003.1121
15:14:15.284,-000.8948,-003.1124
15:14:15.300,-000.8944,-003.1128
15:14:15.300,-000.8940,-003.1131
15:14:15.316,-000.8933,-003.1134
15:14:15.332,-000.8927,-003.1134
15:14:15.348,-000.8921,-003.1134
15:14:15.348,-000.8916,-003.1134
15:14:15.364,-000.8910,-003.1134
15:14:15.380,-000.8904,-003.1134
15:14:15.396,-000.8899,-003.1134
15:14:15.396,-000.8894,-003.1134
15:14:15.412,-000.8889,-003.1134
15:14:15.428,-000.8882,-003.1135
15:14:15.444,-000.8875,-003.1137
15:14:15.444,-000.8867,-003.1142
15:14:15.459,-000.8858,-003.1148
15:14:15.476,-000.8849,-003.1155
15:14:15.492,-000.8840,-003.1163
15:14:15.507,-000.8831,-003.1169
15:14:15.507,-000.8822,-003.1175
15:14:15.523,-000.8814,-003.1182
15:14:15.539,-000.8805,-003.1189
15:14:15.555,-000.8795,-003.1197
15:14:15.555,-000.8786,-003.1205
15:14:15.571,-000.8778,-003.1208
15:14:15.587,-000.8771,-003.1212
15:14:15.602,-000.8766,-003.1214
15:14:15.603,-000.8761,-003.1217
15:14:15.619,-000.8757,-003.1217
15:14:15.635,-000.8753,-003.1217
15:14:15.650,-000.8748,-003.1217
15:14:15.651,-000.8748,-003.1217
15:14:15.666,-000.8748,-003.1217
15:14:15.682,-000.8748,-003.1217
15:14:15.699,-000.8748,-003.1217
15:14:15.699,-000.8749,-003.1217
15:14:15.714,-000.8752,-003.1217
15:14:15.730,-000.8756,-003.1217
15:14:15.746,-000.8762,-003.1217
15:14:15.746,-000.8773,-003.1217
15:14:15.762,-000.8789,-003.1217
15:14:15.778,-000.8805,-003.1217
15:14:15.794,-000.8822,-003.1217
15:14:15.794,-000.8839,-003.1217
15:14:15.810,-000.8857,-003.1217
15:14:15.826,-000.8875,-003.1217
15:14:15.842,-000.8894,-003.1217
15:14:15.842,-000.8912,-003.1215
15:14:15.858,-000.8930,-003.1212
15:14:15.874,-000.8947,-003.1207
15:14:15.893,-000.8961,-003.1196
15:14:15.893,-000.8971,-003.1185
15:14:15.906,-000.8971,-003.1177
15:14:15.932,-000.8971,-003.1168
15:14:15.938,-000.8973,-003.1158
15:14:15.938,-000.8982,-003.1147
15:14:15.953,-000.8992,-003.1134
15:14:15.969,-000.9005,-003.1122
15:14:15.985,-000.9018,-003.1108
15:14:15.985,-000.9032,-003.1093
15:14:16.001,-000.9047,-003.1077
15:14:16.017,-000.9061,-003.1059
15:14:16.033,-000.9075,-003.1041
15:14:16.033,-000.9089,-003.1022
15:14:16.049,-000.9101,-003.1003
15:14:16.066,-000.9112,-003.0986
